Vendedor;Comprador;Data da Venda;Nome do Produto;Mês;Valor Unitário;Valor Total;Quantidade;Loja;Município da Loja;Categoria do Produto
Davi Luiz Silveira;Stephany Araújo;02/08/2024;Vinho;August;14,56;29,12;2;Atacadão Popular;Sinop;Bebidas
João Lucas Correia;Otávio Nunes;20/11/2024;Água Sanitária;November;33,43;234,01;7;Mercado do Bairro;Tangará da Serra;Limpeza
João Vitor Moura;Fernanda Aragão;22/06/2024;Sabão em Pó;June;30,35;121,4;4;Mercado do Bairro;Rondonópolis;Limpeza
Ana Clara Barros;Fernanda Aragão;26/09/2024;Suco;September;22,72;136,32;6;Atacadão Popular;Cuiabá;Bebidas
Isabel Melo;Ana Laura Ramos;13/11/2024;Óleo;November;48,2;192,8;4;Super Econômico;Tangará da Serra;Alimentos
Juliana Nunes;Srta. Mariane Moraes;21/04/2025;Esponja;April;14,32;14,32;1;Supermercado Central;Cuiabá;Limpeza
Elisa Alves;Sophie Nascimento;07/11/2024;Sabão em Pó;November;22,86;68,58;3;Atacadão Popular;Sinop;Limpeza
Rafaela Cunha;Paulo Monteiro;11/07/2024;Ração para Gatos;July;31,19;187,14;6;Atacadão Popular;Tangará da Serra;Pet
Elisa Alves;Pietra da Rocha;15/09/2024;Macarrão;September;11,89;118,9;10;Atacadão Popular;Tangará da Serra;Alimentos
Dra. Lívia Gonçalves;Ana Carolina Nascimento;08/10/2024;Esponja;October;18,01;18,01;1;Super Econômico;Tangará da Serra;Limpeza
Ryan Azevedo;Clarice da Conceição;17/04/2025;Água Sanitária;April;15,03;45,09;3;Atacadão Popular;Rondonópolis;Limpeza
Sr. Pietro Moraes;Igor Gonçalves;19/02/2025;Creme Dental;February;35,23;70,46;2;Super Econômico;Tangará da Serra;Higiene
Ryan Azevedo;Stephany Costela;19/03/2025;Cerveja;March;28,63;57,26;2;Mercado do Bairro;Várzea Grande;Bebidas
Dra. Clara da Paz;Beatriz Moraes;01/12/2024;Shampoo;December;4,03;4,03;1;Mercado do Bairro;Tangará da Serra;Higiene
Luna das Neves;André Freitas;02/10/2024;Sabão em Pó;October;11,36;11,36;1;Mercado do Bairro;Tangará da Serra;Limpeza
Ana Laura Pereira;Dra. Melissa Almeida;25/03/2025;Feijão;March;22,3;178,4;8;Atacadão Popular;Tangará da Serra;Alimentos
Isabel Melo;Marina da Conceição;05/12/2024;Shampoo Pet;December;25,93;155,58;6;Super Econômico;Várzea Grande;Pet
Dra. Clara da Paz;Sophie Nascimento;23/08/2024;Vinho;August;36,21;325,89;9;Super Econômico;Várzea Grande;Bebidas
João Vitor Moura;Sr. Otávio Souza;16/07/2024;Ração para Gatos;July;11,64;23,28;2;Mercado do Bairro;Tangará da Serra;Pet
Ryan Azevedo;Nina Costa;14/10/2024;Arroz;October;48,61;97,22;2;Supermercado Central;Tangará da Serra;Alimentos
Samuel Nascimento;Lívia Pinto;20/03/2025;Óleo;March;8,92;8,92;1;Super Econômico;Várzea Grande;Alimentos
Elisa Alves;Sr. Otávio Souza;21/07/2024;Papel Higiênico;July;27,62;138,1;5;Super Econômico;Tangará da Serra;Higiene
Bárbara Ribeiro;Gabrielly Correia;30/06/2024;Shampoo Pet;June;28,33;84,99;3;Atacadão Popular;Várzea Grande;Pet
Samuel Nascimento;Dr. Marcos Vinicius Vieira;04/07/2024;Sabão em Pó;July;21,21;63,63;3;Super Econômico;Várzea Grande;Limpeza
Dr. Vitor Gabriel Almeida;Gabrielly Correia;07/07/2024;Óleo;July;45,41;363,28;8;Super Econômico;Tangará da Serra;Alimentos
João Vitor Moura;Bernardo Cardoso;21/01/2025;Desodorante;January;27,77;111,08;4;Mercado do Bairro;Várzea Grande;Higiene
Luna das Neves;Luiz Gustavo Nascimento;19/09/2024;Óleo;September;12,98;103,84;8;Mercado do Bairro;Cuiabá;Alimentos
Sr. Pietro Moraes;Thomas Nunes;06/09/2024;Ração para Cães;September;22,37;134,22;6;Super Econômico;Várzea Grande;Pet
Sr. Pietro Moraes;Agatha da Rosa;28/12/2024;Água Mineral;December;37,06;333,54;9;Supermercado Central;Cuiabá;Bebidas
Ana Clara Barros;Raul Correia;29/08/2024;Papel Higiênico;August;35,01;105,03;3;Mercado do Bairro;Várzea Grande;Higiene
João Vitor Moura;Theo Rezende;12/03/2025;Detergente;March;27,91;279,1;10;Super Econômico;Sinop;Limpeza
Dra. Lívia Gonçalves;Maria Cecília Cunha;29/06/2024;Vinho;June;5,94;59,4;10;Atacadão Popular;Várzea Grande;Bebidas
Vitória Martins;Luiz Felipe Oliveira;13/09/2024;Suco;September;7,49;67,41;9;Super Econômico;Cuiabá;Bebidas
Juliana Nunes;Joana Novaes;10/01/2025;Macarrão;January;9,05;27,15;3;Mercado do Bairro;Sinop;Alimentos
Ana Clara Barros;Sophie Nascimento;30/12/2024;Óleo;December;14,0;84,0;6;Mercado do Bairro;Várzea Grande;Alimentos
Vitória Martins;Bernardo Cardoso;11/03/2025;Creme Dental;March;9,23;18,46;2;Atacadão Popular;Cuiabá;Higiene
Milena Pires;Leonardo Moreira;03/11/2024;Refrigerante;November;40,94;327,52;8;Supermercado Central;Várzea Grande;Bebidas
Sr. Pietro Moraes;Calebe Mendes;14/12/2024;Creme Dental;December;13,61;136,1;10;Super Econômico;Sinop;Higiene
Elisa Alves;Clarice da Conceição;26/10/2024;Óleo;October;8,99;71,92;8;Atacadão Popular;Rondonópolis;Alimentos
Sr. Pietro Moraes;Beatriz da Rosa;04/06/2024;Esponja;June;21,98;87,92;4;Atacadão Popular;Cuiabá;Limpeza
Vitória Martins;Ana Lívia Farias;02/09/2024;Suco;September;2,08;2,08;1;Atacadão Popular;Cuiabá;Bebidas
Dr. Vitor Gabriel Almeida;João Rocha;28/04/2024;Esponja;April;17,87;53,61;3;Supermercado Central;Sinop;Limpeza
Isabel Melo;Luiz Felipe Freitas;11/02/2025;Desodorante;February;16,9;152,1;9;Atacadão Popular;Várzea Grande;Higiene
Samuel Nascimento;Dr. Lorenzo Teixeira;26/09/2024;Ração para Cães;September;36,93;36,93;1;Super Econômico;Cuiabá;Pet
Vitória Martins;Luiza Dias;30/05/2024;Sabão em Pó;May;44,45;133,35;3;Super Econômico;Sinop;Limpeza
Elisa Alves;Henrique Azevedo;25/03/2025;Água Mineral;March;10,23;30,69;3;Mercado do Bairro;Sinop;Bebidas
Sr. Pietro Moraes;Bianca Duarte;03/07/2024;Suco;July;21,44;214,4;10;Atacadão Popular;Várzea Grande;Bebidas
Samuel Nascimento;Srta. Amanda Pinto;23/08/2024;Vinho;August;49,69;248,45;5;Super Econômico;Várzea Grande;Bebidas
Bárbara Ribeiro;Ana Sophia Viana;16/11/2024;Shampoo;November;21,51;215,1;10;Mercado do Bairro;Sinop;Higiene
Milena Pires;Marcos Vinicius Pereira;24/09/2024;Detergente;September;47,17;471,7;10;Mercado do Bairro;Várzea Grande;Limpeza
Ryan Azevedo;Stephany Araújo;06/06/2024;Esponja;June;13,53;40,59;3;Mercado do Bairro;Sinop;Limpeza
Samuel Nascimento;Agatha da Rosa;16/02/2025;Feijão;February;27,88;55,76;2;Atacadão Popular;Sinop;Alimentos
Dra. Lívia Gonçalves;Luiz Otávio Peixoto;25/04/2024;Vinho;April;17,47;69,88;4;Supermercado Central;Cuiabá;Bebidas
Samuel Nascimento;Thomas Teixeira;01/12/2024;Água Mineral;December;14,43;43,29;3;Supermercado Central;Tangará da Serra;Bebidas
Vitória Martins;Benício Rodrigues;16/04/2025;Ração para Cães;April;30,35;151,75;5;Mercado do Bairro;Várzea Grande;Pet
João Vitor Moura;Joana Novaes;14/07/2024;Sabão em Pó;July;3,6;36,0;10;Supermercado Central;Várzea Grande;Limpeza
Davi Luiz Silveira;Calebe Mendes;28/02/2025;Shampoo Pet;February;41,74;166,96;4;Atacadão Popular;Sinop;Pet
Luna das Neves;Sr. Matheus da Mata;08/09/2024;Shampoo Pet;September;13,25;53,0;4;Atacadão Popular;Rondonópolis;Pet
Rafaela Cunha;Gustavo Henrique Lima;27/07/2024;Desodorante;July;23,01;23,01;1;Mercado do Bairro;Rondonópolis;Higiene
Ryan Azevedo;Agatha da Rosa;03/10/2024;Sabão em Pó;October;48,96;195,84;4;Atacadão Popular;Várzea Grande;Limpeza
João Vitor Moura;Otávio Nunes;20/05/2024;Esponja;May;23,15;46,3;2;Super Econômico;Tangará da Serra;Limpeza
João Vitor Moura;Lara Gonçalves;21/01/2025;Creme Dental;January;33,41;200,46;6;Super Econômico;Sinop;Higiene
Isabel Melo;Maria Cecília Cunha;26/02/2025;Cerveja;February;44,81;403,29;9;Atacadão Popular;Rondonópolis;Bebidas
Ana Laura Pereira;Sr. Thomas Porto;20/11/2024;Ração para Gatos;November;4,21;33,68;8;Supermercado Central;Várzea Grande;Pet
Dra. Clara da Paz;Raul Correia;25/02/2025;Sabonete;February;29,96;239,68;8;Mercado do Bairro;Rondonópolis;Higiene
Giovanna Alves;Luna Almeida;24/10/2024;Vinho;October;32,9;164,5;5;Mercado do Bairro;Tangará da Serra;Bebidas
Rafaela Cunha;Srta. Amanda Pinto;04/08/2024;Feijão;August;11,69;58,45;5;Supermercado Central;Rondonópolis;Alimentos
Juliana Nunes;Maria Cecília Cunha;16/01/2025;Macarrão;January;45,78;91,56;2;Atacadão Popular;Rondonópolis;Alimentos
Bárbara Ribeiro;Bernardo Cardoso;02/05/2024;Petisco;May;19,9;179,1;9;Supermercado Central;Várzea Grande;Pet
Elisa Alves;Marina da Conceição;17/11/2024;Cerveja;November;46,52;279,12;6;Super Econômico;Rondonópolis;Bebidas
Elisa Alves;Maria Clara da Rosa;22/02/2025;Sabão em Pó;February;4,77;28,62;6;Atacadão Popular;Cuiabá;Limpeza
Bárbara Ribeiro;Sabrina Pires;12/03/2025;Açúcar;March;9,4;75,2;8;Atacadão Popular;Tangará da Serra;Alimentos
Samuel Nascimento;Lívia Pinto;10/01/2025;Desinfetante;January;30,39;303,9;10;Supermercado Central;Tangará da Serra;Limpeza
Davi Luiz Silveira;Agatha da Rosa;08/10/2024;Refrigerante;October;29,72;59,44;2;Supermercado Central;Tangará da Serra;Bebidas
Isabel Melo;Igor Gonçalves;21/01/2025;Água Sanitária;January;45,58;364,64;8;Atacadão Popular;Tangará da Serra;Limpeza
Davi Luiz Silveira;Benício Rodrigues;11/08/2024;Shampoo Pet;August;30,36;30,36;1;Supermercado Central;Cuiabá;Pet
Juliana Nunes;Eduardo Mendes;24/01/2025;Areia Higiênica;January;35,69;71,38;2;Super Econômico;Tangará da Serra;Pet
Milena Pires;Dr. Marcos Vinicius Vieira;23/06/2024;Ração para Cães;June;17,5;175,0;10;Mercado do Bairro;Tangará da Serra;Pet
Bárbara Ribeiro;Eloah Gonçalves;10/05/2024;Petisco;May;49,45;395,6;8;Mercado do Bairro;Várzea Grande;Pet
Ryan Azevedo;Ana Laura Ramos;15/09/2024;Feijão;September;34,83;313,47;9;Super Econômico;Tangará da Serra;Alimentos
Dr. Vitor Gabriel Almeida;Gustavo Henrique Lima;28/08/2024;Petisco;August;49,5;247,5;5;Atacadão Popular;Tangará da Serra;Pet
Milena Pires;Manuela Lima;21/07/2024;Sabão em Pó;July;38,61;38,61;1;Supermercado Central;Sinop;Limpeza
João Vitor Moura;Ryan da Rocha;31/07/2024;Creme Dental;July;3,39;27,12;8;Mercado do Bairro;Rondonópolis;Higiene
Rafaela Cunha;Sr. Gustavo Mendes;04/08/2024;Vinho;August;17,87;35,74;2;Atacadão Popular;Tangará da Serra;Bebidas
Sr. Pietro Moraes;Enzo Gabriel Fogaça;29/03/2025;Suco;March;8,98;35,92;4;Super Econômico;Cuiabá;Bebidas
Ana Laura Pereira;Sabrina Pires;18/06/2024;Desinfetante;June;21,67;195,03;9;Mercado do Bairro;Cuiabá;Limpeza
Dra. Clara da Paz;Rafaela Ramos;07/08/2024;Ração para Cães;August;3,26;32,6;10;Supermercado Central;Sinop;Pet
Dr. Vitor Gabriel Almeida;Ana Laura Ramos;24/11/2024;Óleo;November;22,69;226,9;10;Mercado do Bairro;Tangará da Serra;Alimentos
Davi Luiz Silveira;Leonardo Duarte;07/05/2024;Refrigerante;May;4,84;9,68;2;Supermercado Central;Várzea Grande;Bebidas
Davi Luiz Silveira;Felipe Cardoso;23/11/2024;Suco;November;45,95;45,95;1;Supermercado Central;Rondonópolis;Bebidas
Luna das Neves;Sra. Agatha Jesus;19/03/2025;Ração para Gatos;March;5,79;11,58;2;Supermercado Central;Tangará da Serra;Pet
Vitória Martins;Sophie Nascimento;11/09/2024;Detergente;September;48,37;96,74;2;Mercado do Bairro;Tangará da Serra;Limpeza
Juliana Nunes;Clarice da Conceição;08/01/2025;Macarrão;January;29,31;205,17;7;Mercado do Bairro;Sinop;Alimentos
Sr. Pietro Moraes;Srta. Emanuella Almeida;03/02/2025;Shampoo;February;28,42;142,1;5;Super Econômico;Rondonópolis;Higiene
Luna das Neves;Sr. Thomas Porto;03/09/2024;Suco;September;45,93;413,37;9;Supermercado Central;Sinop;Bebidas
Isabel Melo;Srta. Emanuella Almeida;01/05/2024;Feijão;May;49,09;98,18;2;Supermercado Central;Tangará da Serra;Alimentos
Isabel Melo;Sophie Nascimento;25/06/2024;Petisco;June;14,0;84,0;6;Atacadão Popular;Sinop;Pet
Dra. Clara da Paz;Arthur Viana;03/07/2024;Água Mineral;July;18,71;130,97;7;Atacadão Popular;Tangará da Serra;Bebidas
Elisa Alves;Maria Cecília Cunha;23/11/2024;Cerveja;November;18,76;37,52;2;Atacadão Popular;Rondonópolis;Bebidas
Bárbara Ribeiro;Raul Correia;02/06/2024;Detergente;June;27,08;108,32;4;Supermercado Central;Cuiabá;Limpeza
Elisa Alves;Agatha da Rosa;11/09/2024;Ração para Gatos;September;15,22;30,44;2;Super Econômico;Tangará da Serra;Pet
Luna das Neves;Maria Cecília Cunha;28/05/2024;Creme Dental;May;16,96;135,68;8;Atacadão Popular;Sinop;Higiene
Isabel Melo;Ana Sophia Viana;21/07/2024;Óleo;July;34,07;68,14;2;Atacadão Popular;Rondonópolis;Alimentos
Sr. Pietro Moraes;Beatriz da Rosa;04/09/2024;Ração para Cães;September;29,5;295,0;10;Super Econômico;Rondonópolis;Pet
Luna das Neves;Davi Luiz Gonçalves;12/08/2024;Desodorante;August;15,61;109,27;7;Atacadão Popular;Tangará da Serra;Higiene
Sr. Pietro Moraes;Luigi Barbosa;11/09/2024;Petisco;September;10,33;92,97;9;Supermercado Central;Sinop;Pet
Luna das Neves;Ana Clara da Cunha;20/09/2024;Cerveja;September;26,83;268,3;10;Mercado do Bairro;Tangará da Serra;Bebidas
Elisa Alves;João Vitor Rezende;19/06/2024;Óleo;June;41,44;165,76;4;Supermercado Central;Tangará da Serra;Alimentos
Davi Luiz Silveira;Eduardo Mendes;17/08/2024;Desinfetante;August;13,91;55,64;4;Mercado do Bairro;Tangará da Serra;Limpeza
Bárbara Ribeiro;Henrique Azevedo;14/11/2024;Desinfetante;November;45,99;229,95;5;Mercado do Bairro;Tangará da Serra;Limpeza
João Lucas Correia;Stephany Costela;14/05/2024;Açúcar;May;45,69;91,38;2;Mercado do Bairro;Sinop;Alimentos
Ana Clara Barros;Sr. Gustavo Mendes;22/05/2024;Creme Dental;May;41,17;411,7;10;Mercado do Bairro;Rondonópolis;Higiene
Sr. Pietro Moraes;Luiz Gustavo Nascimento;09/10/2024;Areia Higiênica;October;34,96;314,64;9;Super Econômico;Cuiabá;Pet
Dr. Vitor Gabriel Almeida;Dra. Melissa Almeida;07/10/2024;Creme Dental;October;28,11;84,33;3;Atacadão Popular;Várzea Grande;Higiene
Samuel Nascimento;Beatriz da Rosa;18/12/2024;Sabonete;December;36,45;328,05;9;Mercado do Bairro;Tangará da Serra;Higiene
Dra. Lívia Gonçalves;Evelyn Sales;20/02/2025;Refrigerante;February;5,09;10,18;2;Atacadão Popular;Cuiabá;Bebidas
Dr. Vitor Gabriel Almeida;Luiz Gustavo Nascimento;15/05/2024;Macarrão;May;10,85;75,95;7;Supermercado Central;Cuiabá;Alimentos
Samuel Nascimento;Beatriz da Rosa;30/08/2024;Ração para Gatos;August;46,4;92,8;2;Supermercado Central;Rondonópolis;Pet
Juliana Nunes;Luna Almeida;14/01/2025;Petisco;January;2,71;18,97;7;Atacadão Popular;Várzea Grande;Pet
Bárbara Ribeiro;Nina Almeida;11/10/2024;Óleo;October;7,46;22,38;3;Mercado do Bairro;Rondonópolis;Alimentos
Vitória Martins;Dra. Isadora da Luz;04/12/2024;Cerveja;December;13,13;65,65;5;Super Econômico;Várzea Grande;Bebidas
Vitória Martins;Sra. Agatha Jesus;31/08/2024;Macarrão;August;22,06;110,3;5;Mercado do Bairro;Rondonópolis;Alimentos
Elisa Alves;Pedro Teixeira;10/04/2025;Macarrão;April;32,22;64,44;2;Super Econômico;Rondonópolis;Alimentos
João Vitor Moura;Srta. Mariane Moraes;09/07/2024;Cerveja;July;7,57;75,7;10;Super Econômico;Tangará da Serra;Bebidas
João Lucas Correia;Srta. Mariane Moraes;15/07/2024;Açúcar;July;42,35;84,7;2;Super Econômico;Sinop;Alimentos
João Lucas Correia;Manuela Lima;29/12/2024;Desinfetante;December;42,75;384,75;9;Supermercado Central;Várzea Grande;Limpeza
Ryan Azevedo;Maria Cecília Cunha;30/11/2024;Feijão;November;9,88;59,28;6;Supermercado Central;Sinop;Alimentos
Ana Clara Barros;Alana Novaes;12/09/2024;Creme Dental;September;21,36;170,88;8;Atacadão Popular;Várzea Grande;Higiene
Juliana Nunes;Lívia Pinto;11/08/2024;Esponja;August;5,15;51,5;10;Supermercado Central;Várzea Grande;Limpeza
Elisa Alves;Lara Gonçalves;15/05/2024;Ração para Gatos;May;17,72;124,04;7;Super Econômico;Cuiabá;Pet
Dra. Clara da Paz;Felipe Cardoso;12/04/2025;Shampoo;April;37,1;333,9;9;Mercado do Bairro;Sinop;Higiene
Dra. Lívia Gonçalves;Emilly Moura;12/06/2024;Açúcar;June;36,51;328,59;9;Super Econômico;Tangará da Serra;Alimentos
Bárbara Ribeiro;Manuela Lima;29/11/2024;Refrigerante;November;12,43;74,58;6;Mercado do Bairro;Sinop;Bebidas
Luna das Neves;Pedro Henrique Ramos;29/04/2024;Shampoo Pet;April;30,84;308,4;10;Supermercado Central;Rondonópolis;Pet
Samuel Nascimento;Paulo Martins;07/04/2025;Suco;April;46,52;372,16;8;Atacadão Popular;Tangará da Serra;Bebidas
Giovanna Alves;Ana Lívia Farias;03/08/2024;Vinho;August;5,86;17,58;3;Atacadão Popular;Sinop;Bebidas
Bárbara Ribeiro;Nicolas Cunha;27/11/2024;Desodorante;November;38,62;386,2;10;Supermercado Central;Sinop;Higiene
Davi Luiz Silveira;Maria Cecília Cunha;20/03/2025;Detergente;March;2,11;12,66;6;Supermercado Central;Cuiabá;Limpeza
Ana Laura Pereira;Ryan da Rocha;17/03/2025;Shampoo Pet;March;35,16;140,64;4;Super Econômico;Tangará da Serra;Pet
Elisa Alves;Dr. Davi Duarte;13/06/2024;Papel Higiênico;June;11,04;33,12;3;Mercado do Bairro;Várzea Grande;Higiene
Bárbara Ribeiro;Pedro Teixeira;09/01/2025;Açúcar;January;14,81;74,05;5;Super Econômico;Tangará da Serra;Alimentos
Isabel Melo;Ana Clara da Cunha;25/05/2024;Cerveja;May;24,22;96,88;4;Mercado do Bairro;Várzea Grande;Bebidas
Dr. Vitor Gabriel Almeida;Vitor Hugo Barbosa;15/11/2024;Cerveja;November;30,45;121,8;4;Atacadão Popular;Sinop;Bebidas
Milena Pires;Paulo Cardoso;27/05/2024;Shampoo;May;10,8;75,6;7;Supermercado Central;Várzea Grande;Higiene
Ana Clara Barros;Clarice da Mata;31/03/2025;Cerveja;March;43,56;217,8;5;Mercado do Bairro;Sinop;Bebidas
Isabel Melo;Srta. Amanda Pinto;18/05/2024;Macarrão;May;28,81;28,81;1;Atacadão Popular;Rondonópolis;Alimentos
Davi Luiz Silveira;Henrique Azevedo;18/08/2024;Papel Higiênico;August;13,33;133,3;10;Mercado do Bairro;Sinop;Higiene
João Lucas Correia;Luiz Felipe Oliveira;10/04/2025;Macarrão;April;12,62;12,62;1;Supermercado Central;Várzea Grande;Alimentos
Milena Pires;Dr. Davi Duarte;25/12/2024;Refrigerante;December;9,72;68,04;7;Super Econômico;Rondonópolis;Bebidas
Ana Clara Barros;Luna Almeida;07/10/2024;Arroz;October;19,16;191,6;10;Supermercado Central;Tangará da Serra;Alimentos
Ryan Azevedo;Thomas Teixeira;03/10/2024;Água Mineral;October;5,85;52,65;9;Super Econômico;Tangará da Serra;Bebidas
Sr. Pietro Moraes;Agatha da Rosa;27/05/2024;Óleo;May;41,15;370,35;9;Super Econômico;Várzea Grande;Alimentos
Vitória Martins;Dra. Isadora da Luz;07/02/2025;Detergente;February;10,54;42,16;4;Atacadão Popular;Sinop;Limpeza
Ana Laura Pereira;Sabrina Pires;27/06/2024;Creme Dental;June;6,18;37,08;6;Mercado do Bairro;Cuiabá;Higiene
Luna das Neves;Lara Gonçalves;17/05/2024;Shampoo;May;9,03;18,06;2;Super Econômico;Rondonópolis;Higiene
João Lucas Correia;Luiz Otávio Peixoto;08/04/2025;Óleo;April;23,25;232,5;10;Super Econômico;Várzea Grande;Alimentos
Luna das Neves;Evelyn Azevedo;05/03/2025;Areia Higiênica;March;43,52;391,68;9;Super Econômico;Cuiabá;Pet
Ana Laura Pereira;Sra. Esther Silveira;06/03/2025;Sabonete;March;43,18;345,44;8;Super Econômico;Rondonópolis;Higiene
Isabel Melo;Fernanda Aragão;08/05/2024;Óleo;May;26,91;215,28;8;Mercado do Bairro;Várzea Grande;Alimentos
Sr. Pietro Moraes;Laura Novaes;08/12/2024;Esponja;December;2,35;23,5;10;Atacadão Popular;Rondonópolis;Limpeza
João Lucas Correia;Otávio Nunes;11/01/2025;Shampoo Pet;January;24,9;174,3;7;Supermercado Central;Rondonópolis;Pet
João Vitor Moura;Paulo Monteiro;20/05/2024;Petisco;May;29,14;87,42;3;Mercado do Bairro;Tangará da Serra;Pet
Sr. Pietro Moraes;Marcos Vinicius Pereira;08/05/2024;Papel Higiênico;May;24,92;124,6;5;Mercado do Bairro;Tangará da Serra;Higiene
Isabel Melo;Otávio Nunes;06/07/2024;Shampoo Pet;July;18,38;36,76;2;Super Econômico;Rondonópolis;Pet
Vitória Martins;Ana Laura Ramos;29/09/2024;Detergente;September;15,91;63,64;4;Super Econômico;Sinop;Limpeza
Dra. Lívia Gonçalves;Maria Cecília Cunha;20/07/2024;Água Sanitária;July;37,14;74,28;2;Atacadão Popular;Várzea Grande;Limpeza
Elisa Alves;Stephany Araújo;03/10/2024;Petisco;October;3,62;21,72;6;Mercado do Bairro;Cuiabá;Pet
João Vitor Moura;Ana Laura Ramos;16/05/2024;Shampoo;May;35,8;107,4;3;Atacadão Popular;Tangará da Serra;Higiene
Davi Luiz Silveira;Alana Novaes;25/12/2024;Água Sanitária;December;36,46;328,14;9;Mercado do Bairro;Rondonópolis;Limpeza
Juliana Nunes;Ryan da Rocha;08/12/2024;Esponja;December;45,57;410,13;9;Supermercado Central;Cuiabá;Limpeza
Ryan Azevedo;Clarice da Conceição;27/02/2025;Desinfetante;February;4,97;39,76;8;Atacadão Popular;Várzea Grande;Limpeza
Vitória Martins;Luiz Gustavo Nascimento;29/05/2024;Areia Higiênica;May;48,84;48,84;1;Super Econômico;Sinop;Pet
Bárbara Ribeiro;Marcos Vinicius Pereira;30/10/2024;Petisco;October;44,12;264,72;6;Mercado do Bairro;Rondonópolis;Pet
Milena Pires;Maria Sophia Pinto;15/10/2024;Refrigerante;October;44,29;44,29;1;Supermercado Central;Sinop;Bebidas
João Vitor Moura;Arthur Viana;03/11/2024;Óleo;November;3,06;24,48;8;Super Econômico;Cuiabá;Alimentos
Elisa Alves;Sr. Thomas Porto;21/08/2024;Detergente;August;45,95;367,6;8;Supermercado Central;Rondonópolis;Limpeza
Dra. Clara da Paz;Beatriz Moraes;16/01/2025;Shampoo;January;33,84;203,04;6;Atacadão Popular;Tangará da Serra;Higiene
Dr. Vitor Gabriel Almeida;Eloah Gonçalves;17/08/2024;Arroz;August;47,37;426,33;9;Mercado do Bairro;Sinop;Alimentos
Samuel Nascimento;Isabelly Porto;10/04/2025;Creme Dental;April;21,6;108,0;5;Supermercado Central;Cuiabá;Higiene
Luna das Neves;Sra. Mariana Nunes;17/09/2024;Refrigerante;September;49,69;99,38;2;Mercado do Bairro;Cuiabá;Bebidas
Sr. Pietro Moraes;Stephany Costela;23/04/2024;Ração para Gatos;April;37,02;74,04;2;Mercado do Bairro;Cuiabá;Pet
Vitória Martins;Srta. Mariane Moraes;17/10/2024;Sabonete;October;3,77;26,39;7;Super Econômico;Várzea Grande;Higiene
Ryan Azevedo;Srta. Emanuella Almeida;09/04/2025;Macarrão;April;10,95;32,85;3;Supermercado Central;Cuiabá;Alimentos
Davi Luiz Silveira;Nina Almeida;28/09/2024;Esponja;September;3,35;20,1;6;Atacadão Popular;Sinop;Limpeza
Vitória Martins;Arthur Viana;25/02/2025;Ração para Gatos;February;13,9;97,3;7;Mercado do Bairro;Tangará da Serra;Pet
Dr. Vitor Gabriel Almeida;Luiz Felipe Oliveira;06/09/2024;Ração para Cães;September;39,34;39,34;1;Mercado do Bairro;Tangará da Serra;Pet
Isabel Melo;Alana Novaes;01/01/2025;Vinho;January;28,13;196,91;7;Mercado do Bairro;Cuiabá;Bebidas
João Vitor Moura;Calebe Mendes;04/01/2025;Vinho;January;40,0;280,0;7;Super Econômico;Tangará da Serra;Bebidas
Ana Laura Pereira;Dr. Marcos Vinicius Vieira;03/03/2025;Suco;March;21,55;172,4;8;Supermercado Central;Tangará da Serra;Bebidas
Ryan Azevedo;Thomas Nunes;08/12/2024;Desinfetante;December;47,16;282,96;6;Mercado do Bairro;Várzea Grande;Limpeza
Elisa Alves;João Rocha;04/12/2024;Água Mineral;December;25,49;50,98;2;Super Econômico;Rondonópolis;Bebidas
Davi Luiz Silveira;Benício Rodrigues;28/03/2025;Feijão;March;22,4;22,4;1;Supermercado Central;Rondonópolis;Alimentos
Luna das Neves;Ryan da Rocha;26/06/2024;Vinho;June;24,14;24,14;1;Atacadão Popular;Cuiabá;Bebidas
Samuel Nascimento;Paulo Martins;01/01/2025;Esponja;January;41,13;41,13;1;Supermercado Central;Tangará da Serra;Limpeza
Milena Pires;Manuela Lima;14/05/2024;Óleo;May;3,53;3,53;1;Super Econômico;Rondonópolis;Alimentos
João Lucas Correia;Dr. Lorenzo Teixeira;31/05/2024;Desinfetante;May;13,43;94,01;7;Mercado do Bairro;Várzea Grande;Limpeza
Rafaela Cunha;Ana Laura Ramos;13/02/2025;Desinfetante;February;11,53;80,71;7;Super Econômico;Sinop;Limpeza
Bárbara Ribeiro;Luigi Barbosa;26/10/2024;Refrigerante;October;19,41;116,46;6;Mercado do Bairro;Tangará da Serra;Bebidas
Sr. Pietro Moraes;Eduardo Peixoto;23/06/2024;Sabonete;June;11,07;110,7;10;Atacadão Popular;Rondonópolis;Higiene
Ana Laura Pereira;Sabrina Pires;20/04/2025;Sabão em Pó;April;5,94;23,76;4;Mercado do Bairro;Rondonópolis;Limpeza
Ana Clara Barros;Benício Rodrigues;12/02/2025;Feijão;February;18,67;18,67;1;Super Econômico;Cuiabá;Alimentos
Samuel Nascimento;Ryan da Rocha;12/05/2024;Desodorante;May;17,87;142,96;8;Super Econômico;Sinop;Higiene
João Lucas Correia;Otávio Nunes;26/09/2024;Areia Higiênica;September;24,07;168,49;7;Mercado do Bairro;Rondonópolis;Pet
Dra. Clara da Paz;Sra. Catarina Almeida;25/01/2025;Petisco;January;47,34;378,72;8;Atacadão Popular;Sinop;Pet
